year,end,id,role,district,school,etlp_learningtargets,etlp_studentsassess,etlp_studentsidentify,etlp_feedbacktotargets,etlp_studenttostudentfeedback,etlp_studentsstatecriteria,etlp_instructionstatestandards,cfa_usecfa,cfa_allincfa,etlp_cfa_studentreviewscfa,cfa_cfausedtoplan,memberofteam,dbdm_teamreviewsdata,dbdm_teampositive,dbdm_effectiveteamingpractices,dbdm_datadeterminepractices,dbdm_visualrepresetations,lead_leadersmanage,lead_teachertoteacherfeedback,lead_leadercommitted,lead_leaderactive,pd_pdinstruuction,pd_coachinginstruction,pd_pdmonitor,pd_teacherfeedbackinstruction
Baseline,2017-03-01 13:21,R_3n5vaf3gsdU08yl,Teacher,FT. ZUMWALT R-II,Forest Park Elementary School,4,5,5,5,3,4,5,5,5,5,5,1,4,5,5,5,5,5,5,5,4,4,4,4,4
Baseline,2017-03-01 13:21,R_3qqjnIssomF17U0,Teacher,MCDONALD CO. R-I,Pineville Elementary,2,4,3,5,2,2,5,1,1,1,1,0,,,,1,4,5,1,5,4,4,3,3,1
Baseline,2017-03-01 13:21,R_oXjcQ9bmvrpAH7z,Teacher,SEDALIA 200,Sedalia Middle School,5,3,5,5,3,3,5,5,5,1,1,1,4,4,3,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 13:25,R_1N7MOXApODE46jv,Teacher,MCDONALD CO. R-I,Pineville Elementary,2,4,3,4,4,3,5,4,4,2,4,1,2,4,4,2,1,2,2,2,2,5,2,5,2
Baseline,2017-03-01 13:30,R_dhC5CAaArL1vmZX,Teacher,FT. ZUMWALT R-II,Pheasant Point Elementary School,2,3,4,4,,4,4,4,5,3,5,1,4,4,1,4,4,3,1,2,1,5,3,4,3
Baseline,2017-03-01 13:32,R_3CVjwUYwgLEWhrx,Special Educator,MERAMEC VALLEY R-III,Truman Elementary,4,4,3,4,3,3,4,4,5,4,5,1,5,4,5,4,4,4,4,4,4,4,4,,4
Baseline,2017-03-01 13:33,R_246sTw76eUVGhFE,Teacher,MERAMEC VALLEY R-III,Truman Elementary,4,2,4,5,5,4,5,5,5,5,5,1,4,4,4,4,5,4,4,4,3,3,3,4,3
Baseline,2017-03-01 13:34,R_2B2lUS8fIME4A0t,Teacher,MERAMEC VALLEY R-III,Truman Elementary,2,3,2,3,2,2,2,5,,2,5,1,2,4,5,4,5,5,5,5,5,5,4,4,4
Baseline,2017-03-01 13:36,R_2ccjo0POt9YppuM,Teacher,FT. ZUMWALT R-II,Pheasant Point Elementary School,3,4,4,4,4,3,5,5,5,4,4,1,5,4,4,5,5,4,4,4,4,4,3,4,4
Baseline,2017-03-01 13:36,R_1imljZUVwHJiGTi,Teacher,MERAMEC VALLEY R-III,Truman Elementary,1,3,1,4,5,3,3,5,5,4,5,0,,,,4,4,4,4,4,3,4,4,4,3
Baseline,2017-03-01 13:36,R_3sbNirrphNCbwiX,Special Educator,MERAMEC VALLEY R-III,Truman Elementary,4,4,4,5,2,3,5,5,5,5,5,1,5,5,5,5,5,4,4,4,3,5,4,5,4
Baseline,2017-03-01 13:36,R_6Y8B2MTCrIqD6mZ,Teacher,MERAMEC VALLEY R-III,Truman Elementary,4,3,1,5,2,4,5,5,5,4,5,1,5,4,5,5,4,5,4,5,5,5,3,5,3
Baseline,2017-03-01 13:36,R_eUHLv9DPQHw6DEl,Teacher,MERAMEC VALLEY R-III,Zitzman Elementary,2,3,3,4,4,1,5,4,4,2,3,1,2,3,3,3,2,2,4,4,3,2,4,4,2
Baseline,2017-03-01 13:38,R_1FgmgFuYtrjs9en,Special Educator,MERAMEC VALLEY R-III,Truman Elementary,4,4,4,5,2,4,5,5,5,4,5,0,,,,5,4,4,4,4,4,4,4,4,4
Baseline,2017-03-01 13:38,R_1FyySP6A3Q8GEM6,Teacher,MERAMEC VALLEY R-III,Truman Elementary,4,4,5,5,3,,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 13:38,R_2wbrhh8z3J8oVDW,Teacher,MERAMEC VALLEY R-III,Truman Elementary,2,3,2,5,4,3,4,5,5,4,5,1,5,4,5,5,5,4,5,5,5,5,4,4,4
Baseline,2017-03-01 13:38,R_3iywwMHc5RxrFOu,Teacher,MERAMEC VALLEY R-III,Truman Elementary,2,3,2,4,4,3,4,5,5,3,4,1,3,4,4,5,5,5,4,4,4,5,3,2,2
Baseline,2017-03-01 13:39,R_2y7w2aCIk6H4llG,Teacher,FT. ZUMWALT R-II,Forest Park Elementary School,1,2,1,3,1,2,3,4,5,3,2,1,3,2,4,3,4,2,1,1,3,3,4,1,1
Baseline,2017-03-01 13:39,R_2RVaJWbv1zhActV,Teacher,MERAMEC VALLEY R-III,Truman Elementary,5,4,5,5,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4
Baseline,2017-03-01 13:40,R_30ld3WhUHK8SZdf,Teacher,MERAMEC VALLEY R-III,Truman Elementary,5,5,4,5,3,5,5,5,5,5,5,0,,,,5,2,3,3,3,4,5,3,4,4
Baseline,2017-03-01 13:40,R_3HgWPFG6cnpzYfW,Teacher,MERAMEC VALLEY R-III,Truman Elementary,4,4,4,5,3,4,5,5,5,5,5,1,5,4,5,5,5,4,4,5,4,5,4,4,5
Baseline,2017-03-01 13:41,R_1OldcW7ilg5gmy2,Teacher,FT. ZUMWALT R-II,Pheasant Point Elementary School,3,3,2,5,4,2,5,5,5,4,5,1,5,5,5,5,5,4,5,5,4,4,4,4,4
Baseline,2017-03-01 13:41,R_vCgmhOAS4Z8QV4R,Special Educator,MERAMEC VALLEY R-III,Truman Elementary,1,2,2,5,3,1,1,3,3,3,5,0,,,,5,5,3,2,4,1,5,2,4,4
Baseline,2017-03-01 13:42,R_cOWQmgzpczdphZv,Teacher,MERAMEC VALLEY R-III,Truman Elementary,2,3,4,4,4,3,5,5,5,4,5,1,2,4,5,2,2,4,4,4,4,2,2,2,2
Baseline,2017-03-01 13:43,R_1qgMKW8ccCbdKKg,Teacher,MERAMEC VALLEY R-III,Truman Elementary,4,3,2,5,3,3,5,5,5,2,5,1,5,5,4,5,5,4,3,5,3,3,3,3,2
Baseline,2017-03-01 13:43,R_3IWAyfY2s4zh19q,Teacher,MERAMEC VALLEY R-III,Truman Elementary,4,4,4,4,4,4,5,5,5,5,5,1,4,3,5,5,5,4,4,4,3,4,4,5,4
Baseline,2017-03-01 13:44,R_2V8e9u3ZbYwxiTi,Teacher,MERAMEC VALLEY R-III,Truman Elementary,4,4,4,5,4,5,5,5,5,4,4,1,2,3,1,4,3,4,4,3,3,4,4,4,2
Baseline,2017-03-01 13:44,R_XX8pI5QKTkUN9wR,Teacher,MERAMEC VALLEY R-III,Truman Elementary,3,4,3,5,3,4,4,5,4,4,5,1,5,2,1,3,2,4,4,4,4,5,4,5,5
Baseline,2017-03-01 13:49,R_DNrtCHJxKMFsEx3,Instructional Coach,POPLAR BLUFF R-I,Eugene Field Elementary School,4,5,4,4,2,4,5,4,5,5,5,1,4,4,5,4,4,4,3,5,5,4,3,4,3
Baseline,2017-03-01 13:51,R_1f8AgTQf0xT9puj,Teacher,FT. ZUMWALT R-II,Forest Park Elementary School,4,5,5,5,3,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 13:51,R_1r9B1sdkrg1kYyN,Teacher,MCDONALD CO. R-I,Pineville Elementary,2,5,4,5,4,2,4,4,5,4,5,1,4,4,4,4,3,4,4,4,3,4,4,4,2
Baseline,2017-03-01 13:54,R_2VD6LAcSTWNsH2g,Teacher,FT. ZUMWALT R-II,Forest Park Elementary School,2,3,2,4,4,3,5,5,5,4,5,1,5,4,5,5,5,5,5,5,5,4,,4,2
Baseline,2017-03-01 13:54,R_2BeUN9QF35tnIcR,Other,MERAMEC VALLEY R-III,Zitzman Elementary,2,4,2,4,2,4,4,2,4,4,5,0,,,,4,5,4,4,4,4,4,2,2,1
Baseline,2017-03-01 14:04,R_1esEE0HXuwEOHj5,Teacher,MCDONALD CO. R-I,Pineville Elementary,3,3,2,4,3,3,5,4,4,2,4,0,,,,4,4,4,4,4,3,4,4,3,3
Baseline,2017-03-01 14:08,R_z7jClML6cMgs1G1,Teacher,FT. ZUMWALT R-II,Pheasant Point Elementary School,2,5,,3,2,1,5,4,5,3,5,1,3,5,3,2,4,3,1,4,3,3,3,3,3
Baseline,2017-03-01 14:11,R_3Pn3hmNMCi2fXAX,Teacher,MCDONALD CO. R-I,Southwest City Elementary,3,5,4,5,5,4,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 14:25,R_3hg8aNU2vG23iYZ,Teacher,SEDALIA 200,Sedalia Middle School,4,3,3,3,4,,5,5,5,5,4,1,5,4,3,4,3,4,4,4,3,5,4,4,2
Baseline,2017-03-01 14:26,R_1DG6xgJC2RSdhdG,Teacher,LINN CO. R-I,Linn County Elementary,1,2,2,5,1,1,5,4,5,4,5,1,4,4,3,4,3,4,4,4,4,4,3,4,3
Baseline,2017-03-01 14:31,R_OpzIR6NrretboZP,Teacher,FT. ZUMWALT R-II,Forest Park Elementary School,4,4,3,4,4,3,4,5,5,2,5,1,4,5,5,5,5,3,4,4,4,4,4,4,3
Baseline,2017-03-01 14:31,R_2yrV5ssxYQ9Hd1t,Teacher,MCDONALD CO. R-I,Pineville Elementary,4,3,3,4,4,4,5,5,5,4,4,1,5,4,4,4,4,4,4,4,5,5,4,5,4
Baseline,2017-03-01 14:32,R_1li23WljMQyYtXA,Teacher,LINN CO. R-I,Linn County Elementary,4,4,4,,,,,5,4,4,4,1,4,4,4,4,3,3,4,4,4,4,4,4,3
Baseline,2017-03-01 14:37,R_1itG9owOvGlHO3w,Teacher,LINN CO. R-I,Linn County High School,2,4,5,5,3,3,5,4,4,3,5,0,,,,4,3,3,3,3,3,4,4,4,4
Baseline,2017-03-01 14:46,R_29ozc11xxImYwK8,Special Educator,WILLOW SPRINGS R-IV,Willow Springs High School,4,4,4,4,4,4,4,5,,4,4,1,5,5,5,5,5,5,4,4,4,4,4,4,4
Baseline,2017-03-01 14:47,R_BOZwmf4YFDf3TSF,Teacher,LINN CO. R-I,Linn County High School,2,5,5,5,4,5,4,5,5,4,5,0,,,,5,2,4,4,4,4,5,4,5,3
Baseline,2017-03-01 14:47,R_1hYjRLsGm9CBBmu,Teacher,SEDALIA 200,Sedalia Middle School,4,3,4,5,5,4,5,5,5,5,5,1,5,5,5,5,5,4,3,4,4,5,5,4,3
Baseline,2017-03-01 14:48,R_1gwhZiKuL4SVmJR,Teacher,WILLOW SPRINGS R-IV,Willow Springs High School,4,4,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 14:50,R_3M55VcYfhWRXLQg,Teacher,WILLOW SPRINGS R-IV,Willow Springs High School,3,4,3,4,4,3,4,4,4,4,4,1,4,4,2,3,4,5,5,5,4,5,4,4,4
Baseline,2017-03-01 14:51,R_3I9ykQlUZghsihX,Teacher,WILLOW SPRINGS R-IV,Willow Springs High School,2,4,4,5,4,3,4,5,5,4,4,1,3,4,4,3,3,4,4,4,4,4,4,4,3
Baseline,2017-03-01 14:54,R_12DqHzLYhI5kufs,Special Educator,BELTON 124,Hillcrest Steam Academy,2,2,2,5,2,1,5,1,5,4,1,0,,,,4,1,5,5,4,4,4,4,4,2
Baseline,2017-03-01 14:54,R_3EL46Ak3MIojHr4,Teacher,WILLOW SPRINGS R-IV,Willow Springs High School,1,5,4,5,4,4,4,5,5,4,4,1,4,5,5,5,4,5,5,5,5,5,4,5,4
Baseline,2017-03-01 14:55,R_WCI8JOhlPeOzxpT,Teacher,LINN CO. R-I,Linn County High School,2,5,5,5,5,2,5,5,5,5,5,1,2,5,2,2,2,3,3,4,3,4,4,5,2
Baseline,2017-03-01 14:59,R_2SDKLYf8w8JuHY6,Teacher,POPLAR BLUFF R-I,Poplar Bluff Senior High School,1,1,1,1,1,1,3,5,5,5,2,0,,,,3,2,2,4,2,2,4,4,4,1
Baseline,2017-03-01 15:06,R_24ua1iDLgB5idas,Teacher,LINN CO. R-I,Linn County Elementary,2,2,2,2,2,2,5,5,5,4,5,1,5,5,5,5,5,4,4,4,4,4,4,4,4
Baseline,2017-03-01 15:06,R_2VpYASExr1ZE6Cd,Teacher,WILLOW SPRINGS R-IV,Willow Springs High School,2,4,3,4,2,2,5,3,5,2,5,1,4,4,5,4,4,4,5,5,3,5,4,4,4
Baseline,2017-03-01 15:07,R_1d4sn1HS6MzWDkF,Teacher,MCDONALD CO. R-I,WHITE ROCK ELEM.,4,4,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4,4,5,3,4,3,3,3
Baseline,2017-03-01 15:11,R_O9CfX777qy6ipCF,Teacher,POPLAR BLUFF R-I,Eugene Field Elementary School,5,,4,,5,4,5,5,5,5,5,1,5,5,5,5,5,4,4,5,5,5,4,4,4
Baseline,2017-03-01 15:12,R_3oL4uGGN1ngqxgW,Teacher,WILLOW SPRINGS R-IV,Willow Springs High School,1,5,4,5,4,4,4,5,5,4,4,1,1,5,5,3,4,5,5,4,3,5,5,3,4
Baseline,2017-03-01 15:16,R_295qEu9TVBwbMHv,Teacher,POPLAR BLUFF R-I,Poplar Bluff Senior High School,2,4,4,4,3,4,5,4,5,4,5,1,4,4,4,4,4,4,4,4,4,4,3,4,3
Baseline,2017-03-01 15:17,R_OjyfctSX6CuoFX3,Teacher,MERAMEC VALLEY R-III,Coleman Elementary,2,2,4,4,4,2,4,5,4,4,4,1,4,5,4,4,4,4,4,4,4,4,4,4,4
Baseline,2017-03-01 15:17,R_1NDPSP6Fjvz2C75,Teacher,FT. ZUMWALT R-II,Forest Park Elementary School,4,4,4,4,4,4,5,5,5,3,3,1,4,4,5,4,3,4,4,4,4,4,4,4,3
Baseline,2017-03-01 15:17,R_3DhjCmDZkWIPple,Teacher,WILLOW SPRINGS R-IV,Willow Springs High School,4,5,4,5,3,4,5,5,5,4,5,1,4,5,4,5,5,5,5,5,5,5,5,5,4
Baseline,2017-03-01 15:21,R_3HZGaT8hmTP2dTi,Teacher,POPLAR BLUFF R-I,Poplar Bluff Senior High School,2,2,1,4,2,3,5,5,5,4,4,1,4,5,5,5,2,5,5,5,5,5,5,5,4
Baseline,2017-03-01 15:34,R_2ceyfZ9pooyyTe8,Teacher,BELTON 124,Hillcrest Steam Academy,5,4,4,4,2,4,5,2,2,2,2,1,5,5,5,4,3,3,4,3,4,4,4,4,3
Baseline,2017-03-01 15:38,R_8p7fS1PWXDYE8V3,Special Educator,POPLAR BLUFF R-I,Poplar Bluff Senior High School,2,2,4,3,3,2,4,2,5,5,4,1,2,5,5,4,4,4,5,4,4,5,3,4,4
Baseline,2017-03-01 15:44,R_1oI6HaGCK63idjS,Teacher,MCDONALD CO. R-I,Pineville Elementary,4,5,2,5,2,2,4,4,2,5,5,1,5,5,5,5,5,4,2,5,5,5,5,5,4
Baseline,2017-03-01 15:45,R_2ykJypGoI8zdw4I,Teacher,MERAMEC VALLEY R-III,Coleman Elementary,4,4,4,5,3,4,5,5,5,5,5,1,5,5,5,5,5,4,3,4,3,4,3,4,4
Baseline,2017-03-01 15:46,R_bOYEM9QdN1jCc25,Teacher,MOUND CITY R-II,Mound City Elementary,2,4,4,5,4,4,5,5,4,2,5,1,5,5,5,5,4,5,5,5,5,5,4,5,4
Baseline,2017-03-01 15:54,R_2AHyDAbn2qFNNDs,Teacher,MERAMEC VALLEY R-III,Coleman Elementary,2,2,3,4,2,2,4,2,4,5,4,1,3,3,4,4,4,3,4,4,2,4,3,4,4
Baseline,2017-03-01 16:00,R_2WHDam9I6vbPcE6,Teacher,BELTON 124,Hillcrest Steam Academy,1,4,3,4,4,4,5,5,5,4,4,1,5,5,5,5,5,5,5,5,5,5,5,4,4
Baseline,2017-03-01 16:00,R_3pbCaLBQRadpxlc,Teacher,POPLAR BLUFF R-I,Poplar Bluff Senior High School,1,2,1,3,2,1,1,2,2,1,1,0,,,,1,1,1,1,1,1,2,1,2,2
Baseline,2017-03-01 16:02,R_1n2CNsG88bRtGS3,Teacher,WILLOW SPRINGS R-IV,Willow Springs High School,4,4,3,5,3,4,5,3,4,5,5,1,4,5,5,5,4,3,5,4,3,5,3,5,3
Baseline,2017-03-01 16:05,R_2xV1Vkioykc4W9y,Teacher,MCDONALD CO. R-I,WHITE ROCK ELEM.,4,4,4,4,4,4,4,5,4,4,4,1,5,5,4,5,5,5,5,5,5,4,5,4,5
Baseline,2017-03-01 16:18,R_2EFUfMg5V6Sy7JP,Teacher,POPLAR BLUFF R-I,Eugene Field Elementary School,4,5,4,5,4,4,4,5,5,5,5,1,5,5,5,5,5,4,2,4,4,4,2,4,2
Baseline,2017-03-01 16:20,R_1K6DKLpHGXNeOvs,Teacher,POPLAR BLUFF R-I,Eugene Field Elementary School,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 16:34,R_27pdpb12KF6ejxc,Teacher,MERAMEC VALLEY R-III,Coleman Elementary,2,3,2,3,3,3,5,2,2,2,2,1,4,4,4,4,4,5,4,4,2,4,4,4,2
Baseline,2017-03-01 16:42,R_utb8sC6cI63dnNf,Teacher,MCDONALD CO. R-I,Noel Primary,4,5,4,4,4,4,5,5,4,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 16:46,R_1Hjeuj7PdBurNIa,Teacher,MCDONALD CO. R-I,WHITE ROCK ELEM.,2,3,3,4,4,4,5,4,5,4,4,1,4,5,4,5,4,5,4,5,5,5,5,4,2
Baseline,2017-03-01 16:49,R_2ePfWoHQMYJnohs,Teacher,WILLOW SPRINGS R-IV,Willow Springs Middle School,1,3,5,5,2,1,4,2,2,2,4,0,,,,4,4,4,5,5,5,5,4,5,4
Baseline,2017-03-01 16:50,R_bCQGVMdrn8MVACl,Special Educator,MCDONALD CO. R-I,Pineville Elementary,4,4,4,5,4,4,5,5,5,4,5,1,4,4,4,4,5,5,5,5,5,5,5,5,4
Baseline,2017-03-01 17:04,R_2xYrLmc8qwnnT5X,Other,MERAMEC VALLEY R-III,Zitzman Elementary,3,5,4,5,4,4,5,4,5,4,4,0,,,,4,5,5,4,5,5,4,5,5,4
Baseline,2017-03-01 17:16,R_1DSC1tit0J0BxdH,Teacher,POPLAR BLUFF R-I,Poplar Bluff Senior High School,4,4,4,4,3,4,5,5,5,2,5,1,5,5,5,5,4,4,4,4,5,5,4,5,2
Baseline,2017-03-01 17:24,R_7VsnJmIwfJewR21,Teacher,MCDONALD CO. R-I,WHITE ROCK ELEM.,4,4,4,4,3,4,5,4,4,3,4,1,5,5,5,5,5,5,5,5,5,4,5,4,4
Baseline,2017-03-01 17:33,R_7UOSfsnDCZY23pD,Special Educator,MERAMEC VALLEY R-III,Zitzman Elementary,3,4,2,4,2,2,4,4,5,4,4,1,4,4,4,4,4,3,4,4,4,5,4,4,4
Baseline,2017-03-01 17:53,R_O9g1VIQlGxdOJ69,Teacher,POPLAR BLUFF R-I,Eugene Field Elementary School,3,,4,,4,,5,5,5,5,5,1,5,5,5,4,4,5,5,5,5,5,4,5,4
